city,country,lon,lat,crime_index,temperature_2m_mean,suicide rates (per 100k pop)
Amarillo,United States,-101.833824,35.2072185,22.97,59.80066,14.5
Anchorage,United States,-149.894852,61.2163129,62.27,38.23784,14.5
Atlanta,United States,-84.3902644,33.7489924,62.77,61.0927,14.5
Austin,United States,-97.7436995,30.2711286,37.25,69.781204,14.5
Baltimore,United States,-76.610759,39.2908816,75.75,56.084904,14.5
Boise,United States,-116.200886,43.6166163,35.66,52.569225,14.5
Boston,United States,-71.060511,42.3554334,39.25,52.19177,14.5
Buffalo,United States,-78.8783922,42.8867166,46.45,49.10239,14.5
Charlotte,United States,-80.8430827,35.2272086,45.77,61.044262,14.5
Chicago,United States,-87.6244212,41.8755616,66.1,49.831577,14.5
Cincinnati,United States,-84.5124602,39.1014537,48.37,55.537373,14.5
Cleveland,United States,-81.6936772,41.4996574,64.39,51.36807,14.5
Columbus,United States,-83.0007065,39.9622601,43.98,52.855934,14.5
Dallas,United States,-96.7968559,32.7762719,50.64,67.85774,14.5
Denver,United States,-104.984862,39.7392364,44.87,49.21482,14.5
Detroit,United States,-83.0466403,42.3315509,74.63,50.237812,14.5
El Paso,United States,-106.488234,31.7550511,32.72,65.939804,14.5
Honolulu,United States,-157.855676,21.304547,46.24,76.738686,14.5
Houston,United States,-95.3676974,29.7589382,64.32,69.5395,14.5
Indianapolis,United States,-86.1583502,39.7683331,57.66,53.462242,14.5
Irvine,United States,-117.8259819,33.6856969,20.9,64.64662,14.5
Jacksonville,United States,-81.655651,30.3321838,56.82,69.56404,14.5
Kansas City,United States,-94.5781416,39.100105,57.41,55.150772,14.5
Las Vegas,United States,-115.148516,36.1672559,54.89,70.265686,14.5
Los Angeles,United States,-118.242766,34.0536909,50.82,64.35161,14.5
Louisville,United States,-85.759407,38.2542376,56.06,56.662937,14.5
Madison,United States,-89.3837613,43.074761,33.98,46.88167,14.5
Memphis,United States,-90.0517638,35.1460249,74.76,62.151386,14.5
Miami,United States,-80.19362,25.7741728,52.28,76.5795,14.5
Milwaukee,United States,-87.922497,43.0349931,66.78,48.3518,14.5
Minneapolis,United States,-93.2654692,44.9772995,55.1,44.04371,14.5
Nashville,United States,-86.7742984,36.1622767,46.84,59.886387,14.5
New Orleans,United States,-90.0782127,29.9759983,67.05,69.305176,14.5
New York,United States,-74.0060152,40.7127281,48.13,54.380592,14.5
New York,United States,-73.9497211,40.6526006,40.78,54.380592,14.5
North,United States,-81.1020414,33.6157083,46.76,65.04624,14.5
Oakland,United States,-122.271356,37.8044557,66.54,55.74005,14.5
Omaha,United States,-95.9383758,41.2587459,46.76,52.048763,14.5
Orlando,United States,-81.3790304,28.5421109,51.41,71.75718,14.5
Philadelphia,United States,-75.1635262,39.9527237,63.65,55.795723,14.5
Phoenix,United States,-112.074141,33.4484367,52.23,74.40526,14.5
Pittsburgh,United States,-79.9900861,40.4416941,38.19,52.498234,14.5
Portland,United States,-122.674194,45.5202471,52.85,53.417065,14.5
Raleigh,United States,-78.6390989,35.7803977,34.6,60.85577,14.5
Richmond,United States,-77.43428,37.5385087,47.77,59.335674,14.5
Riverside,United States,-117.3742389,33.9824949,38.97,65.96136,14.5
Sacramento,United States,-121.493895,38.5810606,48.6,62.18649,14.5
Salt Lake City,United States,-111.886797,40.7596198,33.11,52.143044,14.5
San Antonio,United States,-98.4951405,29.4246002,48.24,70.73089,14.5
San Diego,United States,-117.1627728,32.7174202,37.15,62.895935,14.5
San Francisco,United States,-122.419906,37.7790262,60.1,55.62305,14.5
San Jose,United States,-121.890591,37.3361663,45.9,59.410236,14.5
San Juan,United States,-66.10572,18.46633,68.55,79.301056,14.5
Seattle,United States,-122.330062,47.6038321,51.35,51.058224,14.5
Spokane,United States,-117.42351,47.6571934,55.06,48.700405,14.5
St. Louis,United States,-90.1910154,38.6280278,70.46,55.694977,14.5
Tampa,United States,-82.458444,27.9477595,47.55,72.613846,14.5
Tucson,United States,-110.974847,32.2228765,50.29,70.45742,14.5
Washington,United States,-77.0365427,38.8950368,59.43,57.017303,14.5
Montevideo,Uruguay,-56.1913095,-34.9058916,54.81,61.68503,18.8
Tashkent,Uzbekistan,69.2787079,41.3123363,33.86,60.164803,8.3
Caracas,Venezuela,-66.9146008,10.5060934,83.98,69.31602,2.1
Harare,Zimbabwe,31.045686,-17.831773,60.35,64.85572,23.6
